market,name,date,heat_distance_bucket,latitude,longitude,allocated_visitor_count,n_pois_in_bucket,n_candidates_in_group,confidence
Dallas,Baskin-Robbins,2022-11-21,1-2km,32.70634990171638,-96.85802821611784,175.0,1,1,certain
Dallas,Baskin-Robbins,2022-12-16,1-2km,32.70634990171638,-96.85802821611784,85.0,1,1,certain
Dallas,Baskin-Robbins,2023-02-14,1-2km,32.70634990171638,-96.85802821611784,231.0,1,1,certain
Dallas,Baskin-Robbins,2023-03-06,1-2km,32.70634990171638,-96.85802821611784,246.0,1,1,certain
Dallas,Baskin-Robbins,2023-04-10,1-2km,32.70634990171638,-96.85802821611784,148.0,1,1,certain
Dallas,Baskin-Robbins,2024-02-23,1-2km,32.70634990171638,-96.85802821611784,446.0,1,1,certain
Dallas,Baskin-Robbins,2024-07-12,1-2km,32.70634990171638,-96.85802821611784,128.0,1,1,certain
Dallas,Baskin-Robbins,2024-08-19,1-2km,32.70634990171638,-96.85802821611784,191.0,1,1,certain
Dallas,Baskin-Robbins,2024-11-12,1-2km,32.70634990171638,-96.85802821611784,118.0,1,1,certain
Dallas,Bubba's 33,2020-05-31,2-3km,32.79651247035611,-96.62702140865709,979.0,1,1,certain
Dallas,Bubba's 33,2024-08-06,2-3km,32.79651247035611,-96.62702140865709,3232.0,1,1,certain
Dallas,Burger King,2020-01-06,0-1km,32.738922002303184,-96.9153020622798,1614.0,2,3,split_estimate
Dallas,Burger King,2020-01-06,1-2km,32.605646671949536,-96.82371279490332,807.0,1,3,split_estimate
Dallas,Burger King,2020-01-08,0-1km,32.738922002303184,-96.9153020622798,1077.3333333333333,2,3,split_estimate
Dallas,Burger King,2020-01-08,1-2km,32.605646671949536,-96.82371279490332,538.6666666666666,1,3,split_estimate
Dallas,Burger King,2020-01-21,0-1km,32.738922002303184,-96.9153020622798,1222.6666666666667,2,3,split_estimate
Dallas,Burger King,2020-01-21,1-2km,32.605646671949536,-96.82371279490332,611.3333333333334,1,3,split_estimate
Dallas,Burger King,2020-01-30,0-1km,32.738922002303184,-96.9153020622798,2098.0,2,3,split_estimate
Dallas,Burger King,2020-01-30,1-2km,32.605646671949536,-96.82371279490332,1049.0,1,3,split_estimate
Dallas,Burger King,2020-02-11,0-1km,32.738922002303184,-96.9153020622798,1440.0,2,3,split_estimate
Dallas,Burger King,2020-02-11,1-2km,32.605646671949536,-96.82371279490332,720.0,1,3,split_estimate
Dallas,Burger King,2020-02-19,0-1km,32.738922002303184,-96.9153020622798,1207.3333333333333,2,3,split_estimate
Dallas,Burger King,2020-02-19,1-2km,32.605646671949536,-96.82371279490332,603.6666666666666,1,3,split_estimate
Dallas,Burger King,2020-03-31,0-1km,32.738922002303184,-96.9153020622798,182.0,2,3,split_estimate
Dallas,Burger King,2020-03-31,1-2km,32.605646671949536,-96.82371279490332,91.0,1,3,split_estimate
Dallas,Burger King,2020-04-10,0-1km,32.738922002303184,-96.9153020622798,308.0,2,3,split_estimate
Dallas,Burger King,2020-04-10,1-2km,32.605646671949536,-96.82371279490332,154.0,1,3,split_estimate
Dallas,Burger King,2020-04-26,0-1km,32.738922002303184,-96.9153020622798,178.0,2,3,split_estimate
Dallas,Burger King,2020-04-26,1-2km,32.605646671949536,-96.82371279490332,89.0,1,3,split_estimate
Dallas,Burger King,2020-04-30,0-1km,32.738922002303184,-96.9153020622798,492.0,2,3,split_estimate
Dallas,Burger King,2020-04-30,1-2km,32.605646671949536,-96.82371279490332,246.0,1,3,split_estimate
Dallas,Burger King,2020-05-11,0-1km,32.738922002303184,-96.9153020622798,700.6666666666666,2,3,split_estimate
Dallas,Burger King,2020-05-11,1-2km,32.605646671949536,-96.82371279490332,350.3333333333333,1,3,split_estimate
Dallas,Burger King,2020-05-19,0-1km,32.738922002303184,-96.9153020622798,880.0,2,3,split_estimate
Dallas,Burger King,2020-05-19,1-2km,32.605646671949536,-96.82371279490332,440.0,1,3,split_estimate
Dallas,Burger King,2020-05-30,0-1km,32.738922002303184,-96.9153020622798,924.6666666666666,2,3,split_estimate
Dallas,Burger King,2020-05-30,1-2km,32.605646671949536,-96.82371279490332,462.3333333333333,1,3,split_estimate
Dallas,Burger King,2020-06-25,0-1km,32.738922002303184,-96.9153020622798,1322.6666666666667,2,3,split_estimate
Dallas,Burger King,2020-06-25,1-2km,32.605646671949536,-96.82371279490332,661.3333333333334,1,3,split_estimate
Dallas,Burger King,2020-07-15,0-1km,32.738922002303184,-96.9153020622798,733.3333333333334,2,3,split_estimate
Dallas,Burger King,2020-07-15,1-2km,32.605646671949536,-96.82371279490332,366.6666666666667,1,3,split_estimate
Dallas,Burger King,2020-08-12,0-1km,32.738922002303184,-96.9153020622798,974.0,2,3,split_estimate
Dallas,Burger King,2020-08-12,1-2km,32.605646671949536,-96.82371279490332,487.0,1,3,split_estimate
Dallas,Burger King,2020-08-26,0-1km,32.738922002303184,-96.9153020622798,1286.6666666666667,2,3,split_estimate
Dallas,Burger King,2020-08-26,1-2km,32.605646671949536,-96.82371279490332,643.3333333333334,1,3,split_estimate
Dallas,Burger King,2020-09-14,0-1km,32.738922002303184,-96.9153020622798,1080.0,2,3,split_estimate
Dallas,Burger King,2020-09-14,1-2km,32.605646671949536,-96.82371279490332,540.0,1,3,split_estimate
Dallas,Burger King,2020-09-16,0-1km,32.738922002303184,-96.9153020622798,1134.0,2,3,split_estimate
Dallas,Burger King,2020-09-16,1-2km,32.605646671949536,-96.82371279490332,567.0,1,3,split_estimate
Dallas,Burger King,2020-10-12,0-1km,32.738922002303184,-96.9153020622798,914.6666666666666,2,3,split_estimate
Dallas,Burger King,2020-10-12,1-2km,32.605646671949536,-96.82371279490332,457.3333333333333,1,3,split_estimate
Dallas,Burger King,2020-11-07,0-1km,32.738922002303184,-96.9153020622798,1480.6666666666667,2,3,split_estimate
Dallas,Burger King,2020-11-07,1-2km,32.605646671949536,-96.82371279490332,740.3333333333334,1,3,split_estimate
Dallas,Burger King,2020-11-18,0-1km,32.738922002303184,-96.9153020622798,1277.3333333333333,2,3,split_estimate
Dallas,Burger King,2020-11-18,1-2km,32.605646671949536,-96.82371279490332,638.6666666666666,1,3,split_estimate
Dallas,Burger King,2020-12-05,0-1km,32.738922002303184,-96.9153020622798,911.3333333333334,2,3,split_estimate
Dallas,Burger King,2020-12-05,1-2km,32.605646671949536,-96.82371279490332,455.6666666666667,1,3,split_estimate
Dallas,Burger King,2020-12-12,0-1km,32.738922002303184,-96.9153020622798,1556.6666666666667,2,3,split_estimate
Dallas,Burger King,2020-12-12,1-2km,32.605646671949536,-96.82371279490332,778.3333333333334,1,3,split_estimate
Dallas,Burger King,2021-01-23,0-1km,32.738922002303184,-96.9153020622798,1302.6666666666667,2,3,split_estimate
Dallas,Burger King,2021-01-23,1-2km,32.605646671949536,-96.82371279490332,651.3333333333334,1,3,split_estimate
Dallas,Burger King,2021-02-10,0-1km,32.738922002303184,-96.9153020622798,811.3333333333334,2,3,split_estimate
Dallas,Burger King,2021-02-10,1-2km,32.605646671949536,-96.82371279490332,405.6666666666667,1,3,split_estimate
Dallas,Burger King,2021-02-21,0-1km,32.738922002303184,-96.9153020622798,1201.3333333333333,2,3,split_estimate
Dallas,Burger King,2021-02-21,1-2km,32.605646671949536,-96.82371279490332,600.6666666666666,1,3,split_estimate
Dallas,Burger King,2021-02-26,0-1km,32.738922002303184,-96.9153020622798,816.0,2,3,split_estimate
Dallas,Burger King,2021-02-26,1-2km,32.605646671949536,-96.82371279490332,408.0,1,3,split_estimate
Dallas,Burger King,2021-03-08,0-1km,32.738922002303184,-96.9153020622798,1278.0,2,3,split_estimate
Dallas,Burger King,2021-03-08,1-2km,32.605646671949536,-96.82371279490332,639.0,1,3,split_estimate
Dallas,Burger King,2021-04-27,0-1km,32.738922002303184,-96.9153020622798,1683.3333333333333,2,3,split_estimate
Dallas,Burger King,2021-04-27,1-2km,32.605646671949536,-96.82371279490332,841.6666666666666,1,3,split_estimate
Dallas,Burger King,2021-05-20,0-1km,32.738922002303184,-96.9153020622798,2115.3333333333335,2,3,split_estimate
Dallas,Burger King,2021-05-20,1-2km,32.605646671949536,-96.82371279490332,1057.6666666666667,1,3,split_estimate
Dallas,Burger King,2021-06-02,0-1km,32.738922002303184,-96.9153020622798,1206.6666666666667,2,3,split_estimate
Dallas,Burger King,2021-06-02,1-2km,32.605646671949536,-96.82371279490332,603.3333333333334,1,3,split_estimate
Dallas,Burger King,2021-10-08,0-1km,32.738922002303184,-96.9153020622798,2156.6666666666665,2,3,split_estimate
Dallas,Burger King,2021-10-08,1-2km,32.605646671949536,-96.82371279490332,1078.3333333333333,1,3,split_estimate
Dallas,Burger King,2021-11-23,0-1km,32.738922002303184,-96.9153020622798,2146.6666666666665,2,3,split_estimate
Dallas,Burger King,2021-11-23,1-2km,32.605646671949536,-96.82371279490332,1073.3333333333333,1,3,split_estimate
Dallas,Burger King,2021-11-26,0-1km,32.738922002303184,-96.9153020622798,1603.3333333333333,2,3,split_estimate
Dallas,Burger King,2021-11-26,1-2km,32.605646671949536,-96.82371279490332,801.6666666666666,1,3,split_estimate
Dallas,Burger King,2021-12-08,0-1km,32.738922002303184,-96.9153020622798,770.6666666666666,2,3,split_estimate
Dallas,Burger King,2021-12-08,1-2km,32.605646671949536,-96.82371279490332,385.3333333333333,1,3,split_estimate
Dallas,Burger King,2021-12-24,0-1km,32.738922002303184,-96.9153020622798,1736.0,2,3,split_estimate
Dallas,Burger King,2021-12-24,1-2km,32.605646671949536,-96.82371279490332,868.0,1,3,split_estimate
Dallas,Burger King,2022-01-01,0-1km,32.738922002303184,-96.9153020622798,820.6666666666666,2,3,split_estimate
Dallas,Burger King,2022-01-01,1-2km,32.605646671949536,-96.82371279490332,410.3333333333333,1,3,split_estimate
Dallas,Burger King,2022-01-10,0-1km,32.738922002303184,-96.9153020622798,723.3333333333334,2,3,split_estimate
Dallas,Burger King,2022-01-10,1-2km,32.605646671949536,-96.82371279490332,361.6666666666667,1,3,split_estimate
Dallas,Burger King,2022-01-23,0-1km,32.738922002303184,-96.9153020622798,986.6666666666666,2,3,split_estimate
Dallas,Burger King,2022-01-23,1-2km,32.605646671949536,-96.82371279490332,493.3333333333333,1,3,split_estimate
