time_fk,state_fk,market_fk,daily_visitors,n_stores_reporting,is_hot_season
2020-09-01,CA,Los Angeles / SF Bay Area,3574.0,16,False
2020-09-02,CA,Los Angeles / SF Bay Area,5812.0,15,False
2020-09-03,CA,Los Angeles / SF Bay Area,1396.0,8,False
2020-09-04,CA,Los Angeles / SF Bay Area,4615.0,10,False
2020-09-05,CA,Los Angeles / SF Bay Area,3635.0,15,False
2020-09-06,CA,Los Angeles / SF Bay Area,5120.0,10,False
2020-09-07,CA,Los Angeles / SF Bay Area,6560.0,10,False
2020-09-08,CA,Los Angeles / SF Bay Area,7041.0,11,False
2020-09-09,CA,Los Angeles / SF Bay Area,9445.0,12,False
2020-09-10,CA,Los Angeles / SF Bay Area,5235.0,14,False
2020-09-11,CA,Los Angeles / SF Bay Area,8354.0,19,False
2020-09-12,CA,Los Angeles / SF Bay Area,7436.0,12,False
2020-09-13,CA,Los Angeles / SF Bay Area,1124.0,12,False
2020-09-14,CA,Los Angeles / SF Bay Area,964.0,9,False
2020-09-15,CA,Los Angeles / SF Bay Area,8680.0,13,False
2020-09-16,CA,Los Angeles / SF Bay Area,8930.0,20,False
2020-09-17,CA,Los Angeles / SF Bay Area,2046.0,14,False
2020-09-18,CA,Los Angeles / SF Bay Area,3892.0,12,False
2020-09-19,CA,Los Angeles / SF Bay Area,7065.0,9,False
2020-09-20,CA,Los Angeles / SF Bay Area,1864.0,11,False
2020-09-21,CA,Los Angeles / SF Bay Area,2201.0,8,False
2020-09-22,CA,Los Angeles / SF Bay Area,11528.0,11,False
2020-09-23,CA,Los Angeles / SF Bay Area,3669.0,8,False
2020-09-24,CA,Los Angeles / SF Bay Area,10150.0,11,False
2020-09-25,CA,Los Angeles / SF Bay Area,9554.0,13,False
2020-09-26,CA,Los Angeles / SF Bay Area,3655.0,9,False
2020-09-27,CA,Los Angeles / SF Bay Area,4874.0,12,False
2020-09-28,CA,Los Angeles / SF Bay Area,7005.0,12,False
2020-09-29,CA,Los Angeles / SF Bay Area,5974.0,12,False
2020-09-30,CA,Los Angeles / SF Bay Area,5113.0,5,False
2020-10-01,CA,Los Angeles / SF Bay Area,1636.0,7,False
2020-10-02,CA,Los Angeles / SF Bay Area,5809.0,13,False
2020-10-03,CA,Los Angeles / SF Bay Area,4707.0,12,False
2020-10-04,CA,Los Angeles / SF Bay Area,551.0,5,False
2020-10-05,CA,Los Angeles / SF Bay Area,4116.0,16,False
2020-10-06,CA,Los Angeles / SF Bay Area,11760.0,19,False
2020-10-07,CA,Los Angeles / SF Bay Area,7895.0,12,False
2020-10-08,CA,Los Angeles / SF Bay Area,4300.0,14,False
2020-10-09,CA,Los Angeles / SF Bay Area,3751.0,12,False
2020-10-10,CA,Los Angeles / SF Bay Area,2463.0,9,False
2020-10-11,CA,Los Angeles / SF Bay Area,5199.0,10,False
2020-10-12,CA,Los Angeles / SF Bay Area,5997.0,14,False
2020-10-13,CA,Los Angeles / SF Bay Area,5020.0,12,False
2020-10-14,CA,Los Angeles / SF Bay Area,11474.0,17,False
2020-10-15,CA,Los Angeles / SF Bay Area,10019.0,17,False
2020-10-16,CA,Los Angeles / SF Bay Area,3659.0,15,False
2020-10-17,CA,Los Angeles / SF Bay Area,5124.0,14,False
2020-10-18,CA,Los Angeles / SF Bay Area,10356.0,14,False
2020-10-19,CA,Los Angeles / SF Bay Area,6533.0,13,False
2020-10-20,CA,Los Angeles / SF Bay Area,5495.0,12,False
2020-10-21,CA,Los Angeles / SF Bay Area,3138.0,11,False
2020-10-22,CA,Los Angeles / SF Bay Area,6570.0,19,False
2020-10-23,CA,Los Angeles / SF Bay Area,7422.0,11,False
2020-10-24,CA,Los Angeles / SF Bay Area,6210.0,10,False
2020-10-25,CA,Los Angeles / SF Bay Area,7614.0,12,False
2020-10-26,CA,Los Angeles / SF Bay Area,3930.0,9,False
2020-10-27,CA,Los Angeles / SF Bay Area,4295.0,12,False
2020-10-28,CA,Los Angeles / SF Bay Area,10543.0,16,False
2020-10-29,CA,Los Angeles / SF Bay Area,10123.0,15,False
2020-10-30,CA,Los Angeles / SF Bay Area,1986.0,7,False
2020-10-31,CA,Los Angeles / SF Bay Area,5465.0,12,False
2020-11-01,CA,Los Angeles / SF Bay Area,4603.0,11,False
2020-11-02,CA,Los Angeles / SF Bay Area,2380.0,13,False
2020-11-03,CA,Los Angeles / SF Bay Area,3307.0,9,False
2020-11-04,CA,Los Angeles / SF Bay Area,4401.0,6,False
2020-11-05,CA,Los Angeles / SF Bay Area,7032.0,10,False
2020-11-06,CA,Los Angeles / SF Bay Area,4885.0,12,False
2020-11-07,CA,Los Angeles / SF Bay Area,6335.0,15,False
2020-11-08,CA,Los Angeles / SF Bay Area,5987.0,9,False
2020-11-09,CA,Los Angeles / SF Bay Area,1960.0,9,False
2020-11-10,CA,Los Angeles / SF Bay Area,1827.0,6,False
2020-11-11,CA,Los Angeles / SF Bay Area,10563.0,12,False
2020-11-12,CA,Los Angeles / SF Bay Area,17688.0,15,False
2020-11-13,CA,Los Angeles / SF Bay Area,9445.0,19,False
2020-11-14,CA,Los Angeles / SF Bay Area,4594.0,12,False
2020-11-15,CA,Los Angeles / SF Bay Area,9811.0,9,False
2020-11-16,CA,Los Angeles / SF Bay Area,2526.0,12,False
2020-11-17,CA,Los Angeles / SF Bay Area,10023.0,14,False
2020-11-18,CA,Los Angeles / SF Bay Area,2549.0,11,False
2020-11-19,CA,Los Angeles / SF Bay Area,8777.0,14,False
2020-11-20,CA,Los Angeles / SF Bay Area,2954.0,9,False
2020-11-21,CA,Los Angeles / SF Bay Area,2093.0,7,False
2020-11-22,CA,Los Angeles / SF Bay Area,1864.0,5,False
2020-11-23,CA,Los Angeles / SF Bay Area,4539.0,13,False
2020-11-24,CA,Los Angeles / SF Bay Area,4702.0,13,False
2020-11-25,CA,Los Angeles / SF Bay Area,8798.0,14,False
2020-11-26,CA,Los Angeles / SF Bay Area,289.0,15,False
2020-11-27,CA,Los Angeles / SF Bay Area,1723.0,6,False
2020-11-28,CA,Los Angeles / SF Bay Area,4934.0,9,False
2020-11-29,CA,Los Angeles / SF Bay Area,6809.0,14,False
2020-11-30,CA,Los Angeles / SF Bay Area,3151.0,12,False
2020-12-01,CA,Los Angeles / SF Bay Area,5245.0,13,False
2020-12-02,CA,Los Angeles / SF Bay Area,1380.0,8,False
2020-12-03,CA,Los Angeles / SF Bay Area,5280.0,10,False
2020-12-04,CA,Los Angeles / SF Bay Area,2981.0,11,False
2020-12-05,CA,Los Angeles / SF Bay Area,7625.0,20,False
2020-12-06,CA,Los Angeles / SF Bay Area,2595.0,10,False
2020-12-07,CA,Los Angeles / SF Bay Area,2690.0,12,False
2020-12-08,CA,Los Angeles / SF Bay Area,10635.0,16,False
2020-12-09,CA,Los Angeles / SF Bay Area,1437.0,4,False
2020-12-10,CA,Los Angeles / SF Bay Area,4303.0,13,False
2020-12-11,CA,Los Angeles / SF Bay Area,2278.0,8,False
2020-12-12,CA,Los Angeles / SF Bay Area,2995.0,8,False
2020-12-13,CA,Los Angeles / SF Bay Area,2057.0,12,False
2020-12-14,CA,Los Angeles / SF Bay Area,5993.0,15,False
2020-12-15,CA,Los Angeles / SF Bay Area,3062.0,10,False
2020-12-16,CA,Los Angeles / SF Bay Area,4247.0,18,False
2020-12-17,CA,Los Angeles / SF Bay Area,4879.0,12,False
2020-12-18,CA,Los Angeles / SF Bay Area,3073.0,9,False
2020-12-19,CA,Los Angeles / SF Bay Area,4730.0,7,False
2020-12-20,CA,Los Angeles / SF Bay Area,1326.0,7,False
2020-12-21,CA,Los Angeles / SF Bay Area,2950.0,13,False
2020-12-22,CA,Los Angeles / SF Bay Area,1436.0,6,False
2020-12-23,CA,Los Angeles / SF Bay Area,4355.0,13,False
2020-12-24,CA,Los Angeles / SF Bay Area,2444.0,11,False
2020-12-25,CA,Los Angeles / SF Bay Area,3805.0,12,False
2020-12-26,CA,Los Angeles / SF Bay Area,8315.0,11,False
2020-12-27,CA,Los Angeles / SF Bay Area,3342.0,12,False
2020-12-28,CA,Los Angeles / SF Bay Area,2952.0,9,False
2020-12-29,CA,Los Angeles / SF Bay Area,2710.0,9,False
2020-12-30,CA,Los Angeles / SF Bay Area,5594.0,14,False
2020-12-31,CA,Los Angeles / SF Bay Area,5314.0,15,False
2021-01-01,CA,Los Angeles / SF Bay Area,3901.0,14,False
2021-01-02,CA,Los Angeles / SF Bay Area,2220.0,9,False
2021-01-03,CA,Los Angeles / SF Bay Area,4253.0,12,False
2021-01-04,CA,Los Angeles / SF Bay Area,2414.0,6,False
2021-01-05,CA,Los Angeles / SF Bay Area,1832.0,9,False
2021-01-06,CA,Los Angeles / SF Bay Area,2928.0,13,False
2021-01-07,CA,Los Angeles / SF Bay Area,3494.0,8,False
2021-01-08,CA,Los Angeles / SF Bay Area,2895.0,12,False
2021-01-09,CA,Los Angeles / SF Bay Area,2620.0,7,False
2021-01-10,CA,Los Angeles / SF Bay Area,3793.0,12,False
2021-01-11,CA,Los Angeles / SF Bay Area,6278.0,8,False
2021-01-12,CA,Los Angeles / SF Bay Area,6558.0,13,False
2021-01-13,CA,Los Angeles / SF Bay Area,7460.0,11,False
2021-01-14,CA,Los Angeles / SF Bay Area,4274.0,13,False
2021-01-15,CA,Los Angeles / SF Bay Area,5709.0,9,False
2021-01-16,CA,Los Angeles / SF Bay Area,3735.0,13,False
2021-01-17,CA,Los Angeles / SF Bay Area,6254.0,8,False
2021-01-18,CA,Los Angeles / SF Bay Area,5436.0,18,False
2021-01-19,CA,Los Angeles / SF Bay Area,1561.0,10,False
2021-01-20,CA,Los Angeles / SF Bay Area,1084.0,7,False
2021-01-21,CA,Los Angeles / SF Bay Area,1792.0,6,False
2021-01-22,CA,Los Angeles / SF Bay Area,5702.0,19,False
2021-01-23,CA,Los Angeles / SF Bay Area,4259.0,11,False
2021-01-24,CA,Los Angeles / SF Bay Area,2902.0,11,False
2021-01-25,CA,Los Angeles / SF Bay Area,2539.0,12,False
2021-01-26,CA,Los Angeles / SF Bay Area,3008.0,16,False
2021-01-27,CA,Los Angeles / SF Bay Area,6422.0,21,False
2021-01-28,CA,Los Angeles / SF Bay Area,1332.0,8,False
2021-01-29,CA,Los Angeles / SF Bay Area,7592.0,17,False
2021-01-30,CA,Los Angeles / SF Bay Area,4005.0,12,False
2021-01-31,CA,Los Angeles / SF Bay Area,4644.0,8,False
2021-02-01,CA,Los Angeles / SF Bay Area,2302.0,8,False
2021-02-02,CA,Los Angeles / SF Bay Area,4624.0,13,False
2021-02-03,CA,Los Angeles / SF Bay Area,2046.0,9,False
2021-02-04,CA,Los Angeles / SF Bay Area,1398.0,7,False
2021-02-05,CA,Los Angeles / SF Bay Area,6004.0,12,False
2021-02-06,CA,Los Angeles / SF Bay Area,2427.0,9,False
2021-02-07,CA,Los Angeles / SF Bay Area,8670.0,21,False
2021-02-08,CA,Los Angeles / SF Bay Area,2769.0,15,False
2021-02-09,CA,Los Angeles / SF Bay Area,2975.0,19,False
2021-02-10,CA,Los Angeles / SF Bay Area,3675.0,7,False
