state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-07-06,1432.413399348952,3071.3849345492335,8292.635092452589
TX,Dallas / Houston,2024-07-07,5158.164757912167,7452.939238948935,11982.58563161685
TX,Dallas / Houston,2024-07-08,3186.7611883210125,5390.663375811007,10124.234503736156
TX,Dallas / Houston,2024-07-09,1217.5357945909193,3329.7150168088283,8934.483202036436
TX,Dallas / Houston,2024-07-10,2696.5760399638684,5285.78074873389,8748.062706081464
TX,Dallas / Houston,2024-07-11,10958.95352759419,12342.867224614372,16282.290623291268
TX,Dallas / Houston,2024-07-12,1694.4461593796655,3322.9238599280707,9047.444458463897
TX,Dallas / Houston,2024-07-13,5672.145117663691,7675.982404492789,11107.38664156743
TX,Dallas / Houston,2024-07-14,3019.9647686455137,6563.128972786045,10520.694228171813
TX,Dallas / Houston,2024-07-15,5706.497570541642,8164.702360004546,11646.987962036746
TX,Dallas / Houston,2024-07-16,5692.687263145572,8523.969689027897,12096.123607558138
TX,Dallas / Houston,2024-07-17,10413.658034060716,12440.427170432356,15046.161936136192
TX,Dallas / Houston,2024-07-18,3862.953539807499,6633.1505157625315,11543.828673988124
TX,Dallas / Houston,2024-07-19,4402.019605671201,6834.166558229623,11468.107833623251
TX,Dallas / Houston,2024-07-20,6766.561013400814,8549.66861390351,13810.172611036494
TX,Dallas / Houston,2024-07-21,4071.2981541636123,6804.0468440147915,11131.29875759605
TX,Dallas / Houston,2024-07-22,2158.7915409771263,3958.771859820038,8916.449464355435
TX,Dallas / Houston,2024-07-23,3106.7540386638534,6304.266696976345,10379.71022479017
TX,Dallas / Houston,2024-07-24,5831.711515973462,9056.434945246909,12118.543330125704
TX,Dallas / Houston,2024-07-25,5004.234628245068,7695.158056198392,11985.511230159744
TX,Dallas / Houston,2024-07-26,6281.941189495595,8909.354770591091,15180.043722642387
TX,Dallas / Houston,2024-07-27,10475.384149565443,12966.328424060519,15873.740343117575
TX,Dallas / Houston,2024-07-28,5611.9514719039935,8896.768659161617,11474.711825965742
TX,Dallas / Houston,2024-07-29,10599.882192512709,12596.64102674023,15423.938067465786
TX,Dallas / Houston,2024-07-30,9932.328628777013,13053.232191177984,15441.810128733066
TX,Dallas / Houston,2024-07-31,3353.0666682444466,6503.542573706191,10006.830545450444
TX,Dallas / Houston,2024-08-01,2957.24883137301,6269.958581920491,9628.517198753014
