state_fk,market_fk,time_fk,foursquare_crowd_0_1km,foursquare_crowd_1_2km,foursquare_crowd_2_3km,foursquare_crowd_3_5km,foursquare_crowd_5km_plus,foursquare_crowd_total,foursquare_lat_0_1km,foursquare_lat_1_2km,foursquare_lat_2_3km,foursquare_lat_3_5km,foursquare_lat_5km_plus,foursquare_lon_0_1km,foursquare_lon_1_2km,foursquare_lon_2_3km,foursquare_lon_3_5km,foursquare_lon_5km_plus
TX,Dallas / Houston,2021-04-07,482.0,964.0,241.0,0.0,241.0,1928.0,31.21017003976599,31.274767057129342,32.60489193795817,,29.57849330631566,-96.22791635029577,-96.07722870033604,-96.78611703125613,,-95.40381472897492
TX,Dallas / Houston,2021-04-08,0.0,2071.0,2917.0,0.0,0.0,4988.0,,32.60552317497642,29.806243325986735,,,,-96.8242955792686,-95.31486429829964,,
TX,Dallas / Houston,2021-04-09,337.3333333333333,337.3333333333333,168.66666666666666,0.0,168.66666666666666,1011.9999999999999,31.297527169603594,31.2463680518495,32.6026307254389,,29.580245261347233,-96.15788000512043,-96.03533878204992,-96.78783244900674,,-95.39563538455086
TX,Dallas / Houston,2021-04-10,1222.3809523809523,2200.285714285714,855.6666666666666,427.8333333333333,427.8333333333333,5133.999999999999,30.697693051553443,32.729907946695775,29.77043093891414,29.626225000000005,29.581770261158184,-95.75131647108691,-96.803021678172,-95.38493284703843,-95.388248,-95.38871751558959
TX,Dallas / Houston,2021-04-11,6172.5,642.5,2726.5,246.0,1339.5,11127.0,32.119999655831485,30.933370648823235,30.009903577232134,29.626839978434557,29.58080622008871,-96.53886981368662,-95.89130130401472,-95.36089562570326,-95.3887735244042,-95.39170383151165
TX,Dallas / Houston,2021-04-12,347.6666666666667,1831.6666666666667,1484.0,0.0,347.6666666666667,4011.0,29.76977606189995,32.252581203925146,29.701354756466987,,29.5990016,-95.21289268508092,-96.4889524472029,-95.2966042269303,,-95.36885270000002
TX,Dallas / Houston,2021-04-13,1246.0,2492.0,0.0,0.0,0.0,3738.0,31.20787270544992,31.261128881748096,,,,-96.22768779469618,-96.10857854779199,,,
TX,Dallas / Houston,2021-04-14,1466.0,0.0,0.0,0.0,0.0,1466.0,29.771886193418663,,,,,-95.21129967648542,,,,
TX,Dallas / Houston,2021-04-16,10298.5,257.0,2279.0,569.75,569.75,13974.0,32.57258669420885,29.697860499409543,32.605256662083185,29.902854063905387,29.576595677410115,-96.69154728828406,-95.29660252645712,-96.78893553016783,-95.33106466427998,-95.40570521966522
TX,Dallas / Houston,2021-04-17,2073.0,1667.5,2073.0,1667.5,0.0,7481.0,30.342841905322345,29.864180390736035,32.74326540304895,32.76747824487442,,-95.55748591231983,-95.47981300431564,-96.65142978292405,-96.62837754717668,
TX,Dallas / Houston,2021-04-18,0.0,0.0,0.0,162.0,0.0,162.0,,,,29.626839978434553,,,,,-95.3887735244042,
TX,Dallas / Houston,2021-04-19,3361.8142857142857,2629.9285714285716,799.7142857142858,909.1142857142856,505.42857142857144,8206.0,32.207216723582114,32.18605424635721,31.686744008250976,29.76542374647591,29.58844133738655,-96.607508150982,-96.4840976086941,-96.31396111626415,-95.37346987406697,-95.39288118813403
TX,Dallas / Houston,2021-04-20,976.0,488.0,488.0,0.0,0.0,1952.0,32.61823871629833,29.903562731078505,29.83503809636687,,,-96.8067819705696,-95.41447098281671,-95.28525435202806,,
TX,Dallas / Houston,2021-04-21,3628.3333333333335,3488.666666666667,41.666666666666664,41.666666666666664,2002.6666666666667,9203.0,31.768200329220903,30.694295567043863,32.6035858445378,29.902827660580726,29.583328194920878,-96.43947051468902,-95.8147931369392,-96.78900617984895,-95.33286094132104,-95.38778075963332
TX,Dallas / Houston,2021-04-22,1347.2380952380952,2319.4285714285716,850.6666666666666,425.3333333333333,557.3333333333333,5500.0,30.606777390047732,32.56681078640312,29.77043093891414,29.626225000000005,29.58585136772598,-95.69856266312674,-96.72648603096265,-95.38493284703843,-95.388248,-95.3840126908447
TX,Dallas / Houston,2021-04-23,256.6666666666667,1282.3333333333333,51.333333333333336,51.333333333333336,2184.3333333333335,3826.0,30.306375382892696,29.819119241913477,32.6035858445378,29.90282766058073,29.58091146228211,-95.72687113095016,-95.35910973666998,-96.78900617984895,-95.33286094132104,-95.3943272219385
TX,Dallas / Houston,2021-04-24,3182.0,1137.5,3439.0,1147.75,1509.75,10416.0,30.55694938570529,31.85957139980831,32.605256662083185,29.833595029607327,29.578481771501323,-95.82787376028072,-96.40610750084564,-96.78893553016783,-95.34554530180189,-95.40067739527012
TX,Dallas / Houston,2021-04-25,0.0,0.0,1460.0,0.0,0.0,1460.0,,,29.771313740784112,,,,,-95.22852347472949,,
TX,Dallas / Houston,2021-04-26,1045.5,0.0,1239.0,309.75,309.75,2904.0,29.769507405693368,,32.605256662083185,29.90285406390539,29.57659567741011,-95.50145903803791,,-96.78893553016783,-95.33106466427998,-95.40570521966522
TX,Dallas / Houston,2021-04-27,4682.833333333333,1172.1666666666665,745.5,0.0,1262.5,7863.0,31.744135324598766,31.806553385968293,32.60402323571779,,29.599104745112413,-96.32983485864365,-96.37095767910655,-96.78506925203328,,-95.36744540101678
TX,Dallas / Houston,2021-04-28,1584.0,496.5,496.5,0.0,0.0,2577.0,32.741737106341816,29.903562731078505,29.83503809636687,,,-96.80539909702158,-95.41447098281671,-95.28525435202806,,
TX,Dallas / Houston,2021-04-29,5621.50909090909,2551.481818181818,2372.4545454545455,912.2045454545455,2213.35,13671.0,31.674474435495167,31.80278663531561,32.10851835911234,29.843176458296945,29.580007325319272,-96.35813136568277,-96.3616879929982,-96.51741486007894,-95.3566760265999,-95.39672341264313
TX,Dallas / Houston,2021-04-30,1830.5,7974.5,1830.5,1830.5,0.0,13466.0,29.768506159969505,29.73652897514922,32.77712609201614,32.76747824487442,,-95.2479067351576,-95.33731569605148,-96.61893154920664,-96.62837754717668,
